==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
 Chio.Json.hash_collision_resistant]
✔ [107/406] Built Batteries.Linter.UnreachableTactic (2.2s)
✔ [108/406] Built Mathlib.Tactic.Linter.DocPrime (3.8s)
✔ [109/406] Built Mathlib.Tactic.Linter.FlexibleLinter (5.1s)
✔ [110/406] Built Aesop.Util.UnorderedArraySet (1.3s)
✔ [111/406] Built Mathlib.Tactic.Linter.TacticDocumentation (1.1s)
✔ [112/406] Built Batteries.Tactic.Lint.TypeClass (1.2s)
✔ [113/406] Built Aesop.Util.Tactic (1.7s)
✔ [114/406] Built Mathlib.Lean.ContextInfo (1.4s)
✔ [115/413] Built Chio.Json.Fixtures (4.2s)
✔ [116/413] Built Aesop.Options (1.9s)
✔ [117/413] Built Batteries.Tactic.Alias (4.6s)
✔ [118/413] Built Mathlib.Tactic.MinImports (2.0s)
✔ [119/413] Built Batteries.Tactic.Lint.Simp (3.9s)
✔ [120/413] Built Batteries.Tactic.Lint.Misc (3.7s)
✔ [121/413] Built Mathlib.Tactic.Linter.UnusedTactic (3.1s)
✔ [122/413] Built Batteries.Control.AlternativeMonad (2.2s)
✔ [123/413] Built Batteries.Tactic.Lint.Frontend (5.7s)
✔ [124/413] Built Batteries.Tactic.Exact (1.5s)
✔ [125/417] Built Batteries.Logic (1.6s)
✔ [126/417] Built Batteries.Linter.UnnecessarySeqFocus (3.9s)
✔ [127/417] Built Mathlib.Lean.Elab.InfoTree (1.6s)
✔ [128/487] Built Mathlib.Tactic.TacticAnalysis (3.5s)
✔ [129/487] Built Batteries.Linter (1.3s)
✔ [130/487] Built Batteries.Tactic.Lint (1.5s)
✔ [131/487] Built Batteries.Lean.Meta.Basic (1.9s)
✔ [132/487] Built Mathlib.Tactic.ExtractGoal (3.4s)
✔ [133/487] Built Batteries.Tactic.Basic (855ms)
✔ [134/487] Built Batteries.Lean.Meta.InstantiateMVars (1.2s)
✔ [135/487] Built Mathlib.Tactic.Linter.Style (7.5s)
✔ [136/512] Built Mathlib.Tactic.Linter.Lint (2.4s)
✔ [137/512] Built Batteries.Lean.Meta.SavedState (1.5s)
✔ [138/526] Built Mathlib.Tactic.Linter.UnusedInstancesInType (2.9s)
✔ [139/529] Built Aesop.Script.TacticState (2.4s)
✔ [140/529] Built Batteries.Tactic.Congr (3.3s)
✔ [143/529] Built ImportGraph.Graph.TransitiveClosure (1.1s)
✔ [144/530] Built Batteries.Classes.Order (2.4s)
✔ [145/530] Built Plausible.Attr (807ms)
✔ [146/530] Built Aesop.Util.Basic (8.3s)
✔ [147/530] Built ImportGraph.Tools.ImportDiff (1.7s)
✔ [148/531] Built ImportGraph.Tools.RedundantImports (1.3s)
✔ [149/531] Built ImportGraph.Tools.MinImports (1.0s)
✔ [150/531] Built Plausible.Random (1.7s)
✔ [151/532] Built ImportGraph.Tools.FindHome (2.9s)
✔ [152/532] Built Batteries.Data.List.Basic (10s)
✔ [153/532] Built Aesop.Util.EqualUpToIds (6.4s)
✔ [154/532] Built Batteries.Data.UInt (2.9s)
✔ [155/533] Built AeneasMeta.Utils (22s)
✔ [156/533] Built Aesop.Script.CtorNames (3.2s)
✔ [157/534] Built Plausible.Gen (1.0s)
✔ [158/534] Built ImportGraph.Tools (1.4s)
✔ [159/534] Built Aesop.Forward.Substitution (4.1s)
✔ [160/534] Built Mathlib.Tactic.TacticAnalysis.Declarations (7.4s)
✔ [161/534] Built Qq.Macro (16s)
✔ [162/536] Built Aesop.Script.Util (2.1s)
✔ [163/536] Built Aesop.RuleTac.Forward.Basic (2.9s)
✔ [164/536] Built Batteries.CodeAction.Attr (2.1s)
✔ [165/536] Built Batteries.Tactic.Case (6.6s)
✔ [166/536] Built Plausible.Arbitrary (2.2s)
✔ [167/537] Built Mathlib.Init (1.8s)
✔ [168/537] Built AeneasMeta.Extensions (3.4s)
✔ [169/537] Built Batteries.Lean.Position (982ms)
✔ [170/537] Built Aesop.RulePattern.Cache (2.9s)
✔ [171/537] Built Plausible.ArbitraryFueled (672ms)
✔ [172/537] Built Mathlib.Control.Combinators (1.3s)
✔ [173/537] Built Mathlib.Logic.OpClass (1.7s)
✔ [174/537] Built Plausible.Sampleable (2.4s)
✔ [175/537] Built Batteries.Tactic.HelpCmd (7.4s)
✔ [176/537] Built Batteries.CodeAction.Basic (2.7s)
✔ [177/537] Built Mathlib.Tactic.Monotonicity.Attr (2.1s)
✔ [178/537] Built Mathlib.Tactic.Coe (2.0s)
✔ [179/537] Built Mathlib.Tactic.CasesM (2.6s)
✔ [180/537] Built Qq.Delab (5.7s)
✔ [181/537] Built Mathlib.Util.AtLocation (2.7s)
✔ [182/537] Built Mathlib.Tactic.StacksAttribute (2.0s)
✔ [183/537] Built Mathlib.Tactic.GCongr.ForwardAttr (2.6s)
✔ [184/537] Built Mathlib.Tactic.Spread (3.3s)
✔ [185/537] Built Mathlib.Tactic.FastInstance (3.6s)
✔ [186/537] Built Mathlib.Tactic.Core (4.1s)
✔ [187/537] Built Mathlib.Tactic.Substs (1.4s)
✔ [188/537] Built Mathlib.Util.WithWeakNamespace (1.5s)
✔ [189/537] Built Mathlib.Logic.IsEmpty.Defs (1.5s)
✔ [190/537] Built Mathlib.Lean.PrettyPrinter.Delaborator (2.3s)
✔ [191/537] Built Batteries.Tactic.GeneralizeProofs (11s)
✔ [192/537] Built Batteries.Data.Array.Basic (10s)
✔ [193/537] Built Mathlib.Tactic.OfNat (1.3s)
✔ [194/537] Built Mathlib.Tactic.SimpRw (2.7s)
✔ [195/537] Built Batteries.Data.BinomialHeap.Basic (16s)
